Ion WL_rest-air_micron No. _lines_in_blend log_gf  Excitation_Min_eV Line_Strength_5000K Line_Strength_10,000
He_I 1.0830 3 -0.047 19.82096 15.1 6.0
He_I 2.0581 1 -0.424 20.61718 1.000 1.000
He_I 0.7065 3 -0.460 20.96551 0.410 0.614
C_I 1.0693 7 0.348 7.48830 1.000 1.000
C_I 0.9093 2 0.142 7.48830 0.622 0.622
C_I 0.9406 1 0.225 7.68529 0.477 0.599
C_I 0.9658 1 -0.264 7.48830 0.244 0.244
C_I 1.4543 1 -0.110 7.68529 0.221 0.277
C_I 1.1754 2 0.661 8.64774 0.139 0.535
C_I 0.8335 1 -0.420 7.68529 0.108 0.136
C_I 1.1330 1 0.280 8.53767 0.075 0.253
C_II 0.6580 2 0.118 14.44980 88,393 253
C_II 0.7235 3 0.330 16.33422 1,815 46.3
C_II 1.8905 2 0.258 19.49586 1.000 0.959
C_II 1.7846 3 0.550 20.15184 0.427 0.878
C_II 0.9903 3 1.010 20.95206 0.192 1.000
C_II 0.9230 3 0.620 20.84618 0.100 0.461
O I 0.7773 3 0.324 9.14671 1.000 1.000
O I 0.8446 3 0.170 9.52201 0.294 0.454
O I 0.9264 9 0.690 10.74166 0.057 0.365
O I 1.1290 9 0.500 10.98960 0.021 0.177
O I 0.7990 6 0.280 10.98960 0.013 0.106
O I 1.3165 3 -0.095 10.98960 0.005 0.045
O II 0.6695 2 -0.594 23.44307 2,155 97.6
O II 2.1085 2 -1.690 25.66290 1.000 0.595
O II 1.3811 3 -1.730 25.66290 0.912 0.543
O II 1.4008 2 0.530 29.62095 0.017 1.000
O II 0.7114 3 -0.170 29.07061 0.012 0.378
O II 1.3029 2 0.460 29.82223 0.009 0.674
O II 1.2500 1 0.210 29.82223 0.005 0.379
O II 1.1667 2 0.870 30.50576 0.005 0.784
Mg I 0.8807 1 -0.137 4.34610 1.000 0.807
Mg I 1.1828 1 -0.290 4.34610 0.703 0.568
Mg I 1.5033 3 0.340 5.10817 0.511 1.000
Mg I 1.7109 1 0.140 5.39409 0.166 0.453
Mg I 1.4878 9 0.660 5.94632 0.153 0.790
Mg I 1.2083 4 0.450 5.75363 0.147 0.609
Mg II 0.9227 2 0.270 8.65529 1.000 1.000
Mg II 1.0927 3 0.020 8.86425 0.346 0.441
Mg II 0.7890 3 0.650 10.00000 0.106 0.504
Mg II 0.8228 2 0.030 10.00000 0.025 0.121
Mg II 1.0092 3 1.020 11.63047 0.006 0.178
Mg II 0.9632 3 0.660 11.56982 0.003 0.083
Mg II 2.1369 1 0.390 11.50533 0.002 0.048
Mg II 1.6787 3 0.730 12.08542 0.001 0.054
Si I 1.2032 1 0.440 4.95413 1.000 1.000
Si I 1.0827 1 0.220 4.95413 0.603 0.603
Si I 1.0585 1 -0.020 4.95413 0.347 0.347
Si I 1.5888 1 -0.030 5.08269 0.251 0.292
