#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-05-06T22:46:37 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-05-06T22:46:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-source=J/A+A/654/A130/calib&-order=I&-out=El&-out=lambdaAir&-out=n_lambdaAir&-out=lambdaVac&-out=EGES&-out=loggGES&-out=loggRVS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36540130
#Name: J/A+A/654/A130
#Title: GSP-spec line list (Contursi+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/654/a130	    IVOID of underlying data collection
#INFO	creator=Contursi G.	    First author or institution
#INFO	cites=bibcode:2021A&A...654A.130C	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/654/A130	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36540130	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-09-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_654_A130_calib:
#Name: J/A+A/654/A130/calib
#Title: List of calibrated lines
#Column	El	(A5)	Element and its ionisation state	[ucd=phys.atmol.element;phys.atmol.ionization]
#Column	lambdaAir	(F8.4)	Air wavelength	[ucd=em.wl]
#Column	n_lambdaAir	(A1)	[*] Note on lambdaAir (1)	[ucd=meta.note]
#Column	lambdaVac	(F8.4)	Vacuum wavelength (2)	[ucd=em.wl]
#Column	EGES	(F6.3)	Lower excitation potential (from GES line list)	[ucd=phys.atmol.excitation;stat.min]
#Column	loggGES	(F6.3)	? Oscillator strength from the GES line list	[ucd=phys.atmol.oscStrength]
#Column	loggRVS	(F6.3)	Oscillator strength calibrated	[ucd=phys.atmol.oscStrength]
El	lambdaAir	n_lambdaAir	lambdaVac	EGES	loggGES	loggRVS
 	nm	 	nm	eV	[-]	[-]
-----	--------	-	--------	------	------	------
Na I 	864.9931	 	865.2307	 3.191	-1.997	-2.040
Mg I 	860.9727	 	861.2092	 6.118	-2.810	-2.300
Si I 	846.1482	 	846.3807	 5.964	-2.757	-2.400
Si I 	849.2077	 	849.4410	 5.863	-2.742	-2.100
Si I 	850.1544	 	850.3880	 5.871	-0.817	-1.260
Si I 	850.2219	 	850.4555	 5.871	-0.627	-0.940
Si I 	850.6633	 	850.8970	 6.269	-2.879	-3.000
Si I 	850.9655	 	851.1993	 5.863	-3.679	-2.450
Si I 	851.0245	 	851.2583	 6.181	-1.702	-1.810
Si I 	851.4600	 	851.6939	 5.614	-5.070	-2.830
Si I 	852.7266	 	852.9609	 5.616	-3.797	-3.450
Si I 	853.6163	 	853.8508	 6.181	-0.574	-0.700
Si I 	854.3151	 	854.5498	 5.614	-3.502	-3.000
Si I 	854.7841	 	855.0189	 5.619	-3.062	-2.800
Si I 	855.0354	 	855.2703	 6.223	-1.810	-1.600
Si I 	855.6776	 	855.9127	 5.871	-0.151	-0.250
Si I 	855.6805	 	855.9156	 6.191	-0.407	-0.500
Si I 	856.9863	 	857.2217	 6.269	-3.573	-5.000
Si I 	857.0762	 	857.3117	 6.191	-2.158	-2.240
Si I 	857.1306	 	857.3661	 6.191	-1.855	-1.920
Si I 	857.9092	 	858.1449	 5.984	-2.577	-2.200
Si I 	859.5960	 	859.8321	 6.191	-0.700	-0.920
Si I 	859.7051	 	859.9413	 6.191	-1.058	-1.190
Si I 	860.0565	 	860.2928	 6.274	      	-2.700
Si I 	860.6012	 	860.8376	 5.954	-2.016	-2.060
Si I 	862.9601	 	863.1972	 6.083	-3.168	-3.650
Si I 	864.8465	 	865.0841	 6.206	 0.139	 0.250
Si I 	866.7380	 	866.9761	 5.964	-1.949	-2.020
Si I 	868.0080	 	868.2464	 5.863	-3.247	-1.840
Si I 	868.6352	 	868.8738	 6.206	-0.814	-0.930
Si I 	869.0062	 	869.2449	 5.614	-4.828	-3.130
S I  	861.7090	 	861.9457	 8.408	-1.024	-0.900
S I  	862.6540	 	862.8910	 8.408	-1.157	-0.710
S I  	863.3123	 	863.5495	 8.409	-0.696	-0.570
S I  	865.5173	 	865.7551	 8.409	-1.198	-1.100
S I  	866.8440	 	867.0821	 8.412	-0.499	-0.330
