#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-05-06T23:37:51 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-05-06T23:37:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-source=J/A+A/645/A19/tablea3&-order=I&-out=lambdaAir&-out=Line&-out=log(gf)&-out=EP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36450019
#Name: J/A+A/645/A19
#Title: Arcturus Lab (line list) (Fanelli+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/645/a19	    IVOID of underlying data collection
#INFO	creator=Fanelli C.	    First author or institution
#INFO	cites=bibcode:2021A&A...645A..19F	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/645/A19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36450019	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_645_A19_tablea3:
#Name: J/A+A/645/A19/tablea3
#Title: NIR molecular lines
#Column	lambdaAir	(F9.3)	Air wavelength	[ucd=em.wl]
#Column	Line	(F7.2)	Line identification (1)	[ucd=meta.id;spect.line]
#Column	log(gf)	(F6.3)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	EP	(F5.2)	Energy potential	[ucd=phys.energy;phys.atmol.level]
lambdaAir	Line	log(gf)	EP
0.1nm	 	 	eV
---------	-------	------	-----
 9682.068	 607.00	-1.004	 0.66
 9706.730	 607.00	-1.381	 0.52
 9749.751	 607.00	-1.362	 0.57
 9757.623	 607.00	-0.980	 0.77
 9759.349	 607.00	-1.355	 0.57
 9771.955	 607.00	-1.352	 0.59
 9779.767	 607.00	-0.972	 0.79
 9802.389	 607.00	-0.964	 0.82
 9804.015	 607.00	-1.337	 0.62
 9810.249	 607.00	-0.957	 0.82
 9825.487	 607.00	-0.957	 0.85
 9841.420	 607.00	-1.325	 0.66
 9849.080	 607.00	-0.949	 0.88
 9874.644	 607.00	-1.310	 0.69
 9940.901	 607.00	-1.291	 0.77
 9948.443	 607.00	-0.921	 0.99
 9955.930	 607.00	-0.914	 0.99
 9974.568	 607.00	-0.914	 1.02
 9982.003	 607.00	-0.907	 1.02
10035.743	 607.00	-0.894	 1.08
10977.173	 607.00	-1.667	 0.08
10981.077	 607.00	-1.643	 0.09
10985.461	 607.00	-1.621	 0.10
10990.322	 607.00	-1.599	 0.11
11001.474	 607.00	-1.559	 0.13
11007.763	 607.00	-1.541	 0.14
11033.194	 607.00	-2.001	 0.04
11065.131	 607.00	-1.429	 0.23
11066.964	 607.00	-1.873	 0.06
11070.714	 607.00	-2.397	 0.26
11074.544	 607.00	-1.415	 0.25
11075.243	 607.00	-1.415	 0.25
11085.839	 607.00	-1.402	 0.26
11096.920	 607.00	-1.389	 0.28
11102.186	 607.00	-1.272	 0.15
11105.320	 607.00	-1.381	 0.31
11362.293	 607.00	-1.214	 0.62
11367.626	 607.00	-1.025	 0.40
11375.103	 607.00	-1.442	 0.28
11392.648	 607.00	-1.434	 0.28
11396.289	 607.00	-1.428	 0.29
11407.670	 607.00	-1.003	 0.44
11414.961	 607.00	-1.003	 0.46
11428.516	 607.00	-0.993	 0.46
11456.811	 607.00	-1.393	 0.33
11458.082	 607.00	-1.184	 0.74
11486.445	 607.00	-1.376	 0.36
11526.069	 607.00	-1.356	 0.38
11528.571	 607.00	-0.954	 0.57
11534.864	 607.00	-1.352	 0.40
11550.312	 607.00	-1.344	 0.40
11575.142	 607.00	-1.333	 0.42
11578.002	 607.00	-0.936	 0.62
11580.309	 607.00	-1.146	 0.88
11603.597	 607.00	-2.331	 0.75
11606.542	 607.00	-1.139	 0.90
11615.760	 607.00	-0.919	 0.64
11617.543	 607.00	-1.130	 0.90
11626.590	 607.00	-1.311	 0.46
11629.788	 607.00	-0.918	 0.66
11633.388	 607.00	-1.132	 0.93
11644.315	 607.00	-1.124	 0.93
11668.477	 607.00	-0.902	 0.69
11671.710	 607.00	-1.117	 0.96
11680.463	 607.00	-1.290	 0.50
11683.988	 607.00	-0.902	 0.71
11694.121	 607.00	-1.287	 0.52
11695.756	 607.00	-0.894	 0.71
11708.326	 607.00	-1.280	 0.52
11712.011	 607.00	-3.030	 1.38
11717.674	 607.00	-1.112	 1.02
11722.780	 607.00	-1.277	 0.55
11723.660	 607.00	-0.886	 0.74
11736.815	 607.00	-1.271	 0.55
11740.659	 607.00	-0.886	 0.77
11781.371	 607.00	-0.870	 0.79
11781.982	 607.00	-1.258	 0.59
11812.540	 607.00	-1.249	 0.62
11826.118	 607.00	-1.243	 0.62
11843.748	 607.00	-1.240	 0.64
11857.190	 607.00	-1.234	 0.64
11861.671	 607.00	-0.855	 0.88
11872.811	 607.00	-0.848	 0.88
11888.929	 607.00	-1.225	 0.66
11904.624	 607.00	-0.841	 0.90
11921.341	 607.00	-1.216	 0.69
11941.357	 607.00	-1.214	 0.71
11959.411	 607.00	-0.834	 0.96
11975.253	 607.00	-1.206	 0.74
11988.224	 607.00	-1.200	 0.74
11993.370	 607.00	-0.827	 0.99
12004.190	 607.00	-0.820	 0.99
12022.716	 607.00	-3.224	 0.78
12038.785	 607.00	-0.813	 1.02
12045.139	 607.00	-1.189	 0.79
12057.915	 607.00	-1.184	 0.79
12081.151	 607.00	-1.181	 0.82
12099.521	 607.00	-0.807	 1.08
12117.893	 607.00	-1.174	 0.85
12130.491	 607.00	-1.168	 0.85
12136.365	 607.00	-0.800	 1.11
12146.933	 607.00	-0.794	 1.11
12167.887	 607.00	-1.161	 0.88
12184.472	 607.00	-0.787	 1.15
12193.584	 607.00	-1.159	 0.90
12212.306	 607.00	-0.787	 1.18
12251.432	 607.00	-0.781	 1.21
12272.315	 607.00	-1.144	 0.96
12284.636	 607.00	-1.139	 0.96
12301.714	 607.00	-0.769	 1.24
12373.552	 607.00	-0.763	 1.31
12383.853	 607.00	-0.757	 1.31
12415.883	 607.00	-0.757	 1.34
14855.675	 607.00	-1.437	 0.99
14868.927	 607.00	-1.669	 0.56
14887.588	 607.00	-1.644	 0.88
14954.435	 607.00	-1.951	 0.63
14958.275	 607.00	-1.478	 0.72
15005.117	 607.00	-1.208	 0.82
15127.914	 607.00	-1.585	 0.69
15130.921	 108.00	-5.500	 0.17
15181.277	 607.00	-1.381	 1.24
15266.168	 108.00	-5.429	 0.21
15281.052	 108.00	-5.383	 0.21
15298.487	 607.00	-1.869	 0.88
15308.893	 607.00	-1.148	 1.01
15318.740	 607.00	-1.314	 0.94
15337.959	 607.00	-1.827	 0.90
15341.508	 607.00	-1.533	 0.80
15409.172	 108.00	-5.366	 0.26
15432.811	 607.00	-1.699	 0.84
15447.095	 607.00	-1.125	 1.09
15466.235	 607.00	-1.118	 1.09
15481.868	 607.00	-1.505	 0.86
15530.776	 607.00	-1.496	 0.89
15568.780	 108.00	-5.270	 0.30
15600.740	 608.00	-7.804	 0.11
15612.500	 608.00	-7.884	 0.08
15651.896	 108.00	-5.133	 0.53
15667.550	 608.00	-7.128	 0.86
15684.088	 607.00	-1.471	 0.96
15719.696	 108.00	-5.255	 0.36
15737.445	 607.00	-1.462	 0.99
15755.522	 108.00	-5.108	 0.57
16052.765	 108.00	-4.911	 0.64
16162.191	 607.00	-1.038	 1.49
16211.760	 608.00	-5.931	 1.31
16222.600	 608.00	-6.516	 0.86
16314.410	 608.00	-6.610	 0.84
16368.135	 108.00	-4.798	 0.73
16475.890	 608.00	-5.542	 1.77
16526.254	 108.00	-4.782	 0.79
16610.130	 608.00	-6.645	 0.89
16633.730	 608.00	-5.911	 1.40
16637.410	 608.00	-5.936	 1.39
16670.580	 608.00	-5.372	 1.92
16771.620	 608.00	-6.759	 0.91
16904.279	 108.00	-4.656	 0.90
16949.380	 608.00	-6.264	 1.22
17104.721	 108.00	-4.614	 0.96
17193.950	 608.00	-6.016	 1.48
17531.820	 108.00	-4.562	 1.10
21161.020	 607.00	-1.868	 0.96
21291.668	 607.00	-1.823	 1.00
21352.234	 607.00	-1.809	 1.00
23358.329	 109.00	-3.962	 0.23

