#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-05-06T23:06:53 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-05-06T23:06:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=J/A+A/645/A19/tablea2&-source=J/A+A/645/A19/tablea2&-out=lambdaAir&-out=Line&-out=log(gf)&-out=EP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36450019
#Name: J/A+A/645/A19
#Title: Arcturus Lab (line list) (Fanelli+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/645/a19	    IVOID of underlying data collection
#INFO	creator=Fanelli C.	    First author or institution
#INFO	cites=bibcode:2021A&A...645A..19F	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/645/A19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36450019	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_645_A19_tablea2:
#Name: J/A+A/645/A19/tablea2
#Title: NIR atomic lines
#Column	lambdaAir	(F9.3)	Air wavelength	[ucd=em.wl]
#Column	Line	(F7.2)	Line identification (1)	[ucd=meta.id;spect.line]
#Column	log(gf)	(F6.3)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	EP	(F5.2)	Energy potential	[ucd=phys.energy;phys.atmol.level]
lambdaAir	Line	log(gf)	EP
0.1nm	 	 	eV
---------	-------	------	-----
 9653.114	  26.00	-0.684	 4.73
 9657.232	  26.00	-0.780	 5.09
 9663.241	  22.00	-1.705	 2.29
 9688.873	  22.00	-1.610	 0.81
 9718.960	  22.00	-1.181	 1.50
 9730.316	  24.00	-0.770	 3.55
 9746.920	  22.00	-1.079	 2.32
 9753.091	  26.00	-0.782	 4.80
 9763.896	  26.00	-0.744	 5.03
 9770.301	  22.00	-1.581	 0.85
 9773.353	  24.00	-1.559	 3.56
 9786.641	  26.00	-1.676	 4.61
 9787.688	  22.00	-1.444	 0.83
 9800.308	  26.00	-0.453	 5.09
 9811.504	  26.00	-1.362	 5.01
 9832.140	  22.00	-1.130	 1.89
 9868.186	  26.00	-0.979	 5.09
 9879.583	  22.00	-2.400	 1.87
 9881.522	  26.00	-1.711	 4.58
 9889.035	  26.00	-0.446	 5.03
 9904.480	  24.00	-1.642	 3.55
 9927.351	  22.00	-1.290	 1.88
 9941.379	  22.00	-1.870	 2.16
 9944.206	  26.00	-1.338	 5.01
 9980.463	  26.00	-1.379	 5.03
 9997.959	  22.00	-1.560	 1.87
10003.088	  22.00	-1.210	 2.16
10005.664	  22.00	-3.650	 1.07
10011.744	  22.00	-1.390	 2.15
10034.491	  22.00	-1.770	 1.46
10046.414	  27.00	-2.085	 2.72
10048.828	  22.00	-1.930	 1.44
10058.252	  26.00	-5.216	 2.20
10059.904	  22.00	-2.080	 1.43
10061.245	  28.00	-0.401	 5.49
10065.045	  26.00	-0.289	 4.83
10066.512	  22.00	-1.850	 2.16
10068.329	  14.00	-1.318	 6.10
10077.174	  26.00	-4.274	 2.99
10080.350	  24.00	-1.272	 3.56
10081.393	  26.00	-4.537	 2.42
10086.242	  26.00	-4.054	 2.95
10155.162	  26.00	-4.226	 2.18
10167.468	  26.00	-4.117	 2.20
10193.224	  28.00	-0.656	 4.09
10195.105	  26.00	-3.580	 2.73
10216.313	  26.00	-0.063	 4.73
10218.408	  26.00	-2.760	 3.07
10245.217	  39.01	-1.820	 1.74
10265.217	  26.00	-4.537	 2.22
10273.684	  20.00	-0.636	 4.53
10288.944	  14.00	-1.511	 4.92
10299.290	  12.00	-2.076	 6.12
10302.611	  28.00	-0.881	 4.27
10313.197	  14.00	-0.886	 6.40
10330.228	  28.00	-0.982	 4.11
10332.327	  26.00	-2.938	 3.64
10340.885	  26.00	-3.577	 2.20
10343.819	  20.00	-0.300	 2.93
10347.965	  26.00	-0.551	 5.39
10353.804	  26.00	-0.819	 5.39
10364.062	  26.00	-0.960	 5.45
10371.263	  14.00	-0.705	 4.93
10378.602	  28.00	-0.793	 4.09
10378.999	  26.00	-4.148	 2.22
10382.306	  27.00	-2.163	 2.87
10395.794	  26.00	-3.393	 2.18
10396.802	  22.00	-1.539	 0.85
10407.037	  14.00	-0.597	 6.62
10416.620	  24.00	-2.508	 3.01
10423.027	  26.00	-3.616	 2.69
10423.743	  26.00	-2.918	 3.07
10435.355	  26.00	-1.945	 4.73
10455.470	  16.00	 0.250	 6.86
10456.790	  16.00	-0.447	 6.86
10459.460	  16.00	 0.030	 6.86
10460.049	  22.00	-1.399	 2.26
10469.652	  26.00	-1.184	 3.88
10486.250	  24.00	-0.949	 3.01
10496.113	  22.00	-1.651	 0.84
10510.010	  24.00	-1.535	 3.01
10523.390	  66.01	-0.450	 1.95
10529.524	  15.00	 0.240	 6.95
10530.514	  28.00	-1.189	 4.11
10532.234	  26.00	-1.480	 3.93
10551.757	  22.00	-2.416	 1.89
10552.965	  22.00	-1.573	 2.25
10555.649	  26.00	-1.108	 5.45
10565.952	  22.00	-1.777	 2.24
10577.139	  26.00	-3.136	 3.30
10581.577	  15.00	 0.450	 6.99
10582.160	  14.00	-1.169	 6.22
10584.633	  22.00	-1.775	 0.83
10607.718	  22.00	-2.697	 0.85
10611.686	  26.00	 0.021	 6.17
10616.721	  26.00	-3.127	 3.27
10647.640	  24.00	-1.582	 3.01
10661.623	  22.00	-1.915	 0.82
10667.520	  24.00	-1.481	 3.01
10672.140	  24.00	-1.354	 3.01
10677.047	  22.00	-2.522	 0.84
10689.716	  14.00	-0.120	 5.95
10694.251	  14.00	 0.048	 5.96
10725.185	  26.00	-2.763	 3.64
10726.391	  22.00	-2.064	 0.81
10727.406	  14.00	 0.217	 5.98
10732.864	  22.00	-2.515	 0.83
10746.449	  11.00	-1.294	 3.19
10754.753	  26.00	-4.523	 2.83
10768.365	  13.00	-2.020	 4.09
10774.866	  22.00	-2.666	 0.82
10780.694	  26.00	-3.289	 3.24
10782.045	  13.00	-1.764	 4.09
10784.562	  14.00	-0.839	 5.96
10796.106	  14.00	-1.266	 6.18
10801.360	  24.00	-1.562	 3.01
10816.910	  24.00	-1.894	 3.01
10821.176	  16.00	-8.607	 0.00
10821.660	  24.00	-1.520	 3.01
10829.267	  20.00	-1.224	 4.44
10833.382	  20.00	-0.244	 4.88
10838.970	  20.00	 0.238	 4.88
10843.858	  14.00	-0.112	 5.86
10861.582	  20.00	-0.343	 4.88
10862.652	  26.01	-2.200	 5.59
10863.518	  26.00	-0.895	 4.73
10868.789	  14.00	 0.206	 6.19
10872.973	  13.00	-1.400	 4.09
10879.868	  20.00	-0.357	 4.88
10881.758	  26.00	-3.604	 2.85
10882.809	  14.00	-0.815	 5.98
10884.262	  26.00	-1.925	 3.93
10885.333	  14.00	 0.221	 6.18
10891.307	  28.00	-1.246	 4.17
10891.736	  13.00	-1.027	 4.09
10896.299	  26.00	-2.694	 3.07
10905.710	  24.00	-0.561	 3.44
10953.320	  12.00	-0.863	 5.93
10982.058	  14.00	 0.104	 6.19
11015.530	  24.00	-0.429	 3.45
11026.788	  26.00	-2.805	 3.94
11054.253	  30.00	-0.300	 5.80
11119.795	  26.00	-2.202	 2.85
11374.078	  26.00	-3.235	 2.18
11379.330	  24.00	-1.360	 3.32
11388.538	  26.00	-0.711	 5.62
11390.750	  24.00	-0.423	 3.32
11398.060	  24.00	-0.645	 3.32
11402.734	  26.00	 0.240	 6.26
11409.913	  26.00	-0.838	 5.64
11422.319	  26.00	-2.700	 2.20
11473.020	  24.00	-0.522	 3.32
11572.523	  26.00	 0.322	 6.28
11588.684	  28.00	-1.206	 4.24
11592.289	  14.00	-0.554	 6.27
11593.588	  26.00	-2.448	 2.22
11594.546	  26.00	-1.883	 4.58
11607.572	  26.00	-2.009	 2.20
11609.802	  14.00	-1.064	 6.26
11610.560	  24.00	 0.055	 3.32
11611.060	  14.00	 0.100	 6.26
11630.916	  27.00	-0.683	 3.41
11638.260	  26.00	-2.214	 2.18
11640.941	  14.00	-0.432	 6.27
11681.594	  26.00	-3.615	 3.55
11700.239	  14.00	-0.526	 6.27
11759.570	  20.00	-0.878	 4.53
11767.481	  20.00	-0.536	 4.53
11769.639	  19.00	-0.450	 1.62
11772.838	  19.00	 0.510	 1.62
11780.542	  22.00	-2.170	 1.44
11793.043	  20.00	-0.258	 4.53
11797.186	  22.00	-2.280	 1.43
11863.920	  14.00	-1.457	 5.98
11882.844	  26.00	-1.668	 2.20
11884.083	  26.00	-2.083	 2.22
11892.877	  22.00	-1.730	 1.43
11900.055	  14.00	-1.864	 5.96
11927.838	  28.00	-2.105	 4.27
11949.547	  22.00	-1.570	 1.44
11955.955	  20.00	-0.849	 4.13
11973.046	  26.00	-1.483	 2.18
11973.847	  22.00	-1.390	 1.46
12000.970	  24.00	-2.068	 3.43
12039.822	  12.00	-1.530	 5.75
12053.082	  26.00	-1.543	 4.56
12081.972	  14.00	-0.518	 6.26
12102.432	  14.00	-0.694	 6.62
12105.841	  20.00	-0.305	 4.55
12110.659	  14.00	-0.136	 6.62
12119.494	  26.00	-1.635	 4.59
12167.243	  22.00	-0.681	 3.35
12178.339	  14.00	-1.100	 6.27
12189.241	  14.00	-1.005	 6.62
12213.336	  26.00	-1.845	 4.64
12216.579	  28.00	-0.513	 5.28
12227.112	  26.00	-1.368	 4.61
12239.915	  22.00	-2.324	 2.15
12249.403	  23.00	-0.999	 2.36
12255.699	  22.00	 0.161	 3.92
12311.480	  11.00	-1.007	 3.75
12340.481	  26.00	-5.098	 2.28
12342.916	  26.00	-1.463	 4.64
12390.154	  14.00	-1.767	 5.08
12395.832	  14.00	-1.644	 4.95
12417.937	  12.00	-1.664	 5.93
12423.029	  12.00	-1.188	 5.93
12432.273	  19.00	-0.439	 1.61
12433.452	  12.00	-0.967	 5.93
12439.963	  14.00	-2.732	 5.08
12522.134	  19.00	-0.139	 1.62
12532.840	  24.00	-1.879	 2.71
12583.924	  14.00	-0.462	 6.62
12600.277	  22.00	-2.320	 1.44
12615.928	  26.00	-1.517	 4.64
12627.674	  14.00	-0.805	 6.62
12638.703	  26.00	-0.783	 4.56
12648.741	  26.00	-1.140	 4.61
12651.030	  24.00	-1.724	 3.84
12671.096	  22.00	-2.360	 1.43
12683.733	  12.00	-1.500	 6.59
12720.155	  27.00	-1.165	 3.53
12738.383	  22.00	-1.280	 2.17
12744.905	  22.00	-1.280	 2.49
12807.152	  26.00	-2.452	 3.64
12808.243	  26.00	-1.362	 4.99
12811.478	  22.00	-1.390	 2.16
12816.045	  20.00	-0.765	 3.91
12821.672	  22.00	-1.190	 1.46
12823.867	  20.00	-0.997	 3.91
12824.859	  26.00	-3.835	 3.02
12827.059	  20.00	-1.478	 3.91
12831.445	  22.00	-1.490	 1.43
12847.034	  22.00	-1.330	 1.44
12879.766	  26.00	-3.458	 2.28
12885.290	  20.00	-1.164	 4.43
12901.212	  23.00	-1.052	 1.96
12909.070	  20.00	-0.224	 4.43
12910.090	  24.00	-1.779	 2.71
12919.899	  22.00	-1.560	 2.15
12921.810	  24.00	-2.743	 2.71
12934.666	  26.00	-0.948	 5.39
13011.897	  22.00	-2.270	 1.44
13029.524	  14.00	-0.924	 6.08
13030.921	  14.00	-0.669	 6.08
13048.181	  28.00	-1.008	 4.54
13053.627	  30.00	 0.340	 6.65
13077.265	  22.00	-2.220	 1.46
13098.876	  26.00	-1.290	 5.01
13102.057	  14.00	-0.309	 6.08
13104.517	  23.00	-1.238	 1.95
13134.942	  20.00	 0.085	 4.45
13147.920	  26.00	-0.814	 5.39
13152.743	  14.00	-2.504	 4.92
13154.531	  14.00	-0.997	 6.62
13176.888	  14.00	-0.200	 5.86
13184.969	  23.00	-1.902	 1.96
13201.150	  24.00	-1.834	 2.71
13217.020	  24.00	-2.302	 2.71
13281.490	  25.00	-1.350	 2.92
13305.697	  22.00	-1.863	 2.24
13317.984	  20.00	-0.480	 4.62
13325.626	  14.00	-0.157	 6.10
13352.173	  26.00	-0.521	 5.31
13384.466	  26.00	-4.118	 3.02
13392.102	  26.00	-0.125	 5.35
13415.640	  25.00	-1.730	 2.92
14872.028	  28.00	 0.424	 5.28
14897.406	  26.00	 0.314	 6.42
14898.691	  12.00	-1.640	 6.72
14978.730	  24.00	-1.807	 3.38
14988.778	  26.00	 0.186	 6.17
15013.771	  26.00	 0.087	 6.22
15017.700	  26.00	 0.062	 6.22
15032.251	  28.00	-0.857	 5.28
15136.124	  26.00	-0.126	 5.83
15160.503	  26.00	-0.253	 6.34
15163.067	  19.00	 0.689	 2.67
15168.376	  19.00	 0.480	 2.67
15176.713	  26.00	-0.497	 5.92
15194.490	  26.00	-4.815	 2.22
15207.526	  26.00	 0.323	 5.39
15217.686	  25.00	 0.520	 4.89
15224.729	  26.00	-0.315	 5.96
15239.712	  26.00	-0.032	 6.42
15243.588	  14.00	-0.867	 6.73
15262.415	  25.00	 0.393	 4.89
15277.610	  58.01	-1.940	 0.61
15293.135	  26.00	 0.143	 6.31
15301.557	  26.00	-0.687	 5.92
15315.585	  22.00	-2.081	 2.34
15343.788	  26.00	-0.582	 5.65
15381.960	  26.00	-0.460	 5.98
15469.816	  16.00	-0.050	 8.05
15478.482	  16.00	 0.180	 8.05
15550.436	  26.00	-0.102	 6.32
15588.259	  26.00	 0.419	 6.37
15605.684	  28.00	 0.017	 5.31
15621.654	  26.00	 0.589	 5.54
15632.632	  28.00	 0.125	 5.31
15645.016	  26.00	-0.390	 6.31
15648.510	  26.00	-0.599	 5.43
15662.013	  26.00	 0.371	 5.83
15671.004	  26.00	-0.221	 6.33
15691.853	  26.00	 0.649	 6.25
15753.606	  28.00	-0.602	 5.47
15761.313	  26.00	 0.145	 6.25
15769.423	  26.00	 0.700	 5.54
15770.617	  26.00	 0.460	 6.30
15784.786	  58.01	-1.540	 0.32
15818.142	  26.00	 0.589	 5.59
15821.712	  26.00	-0.792	 5.64
15822.816	  26.00	 0.186	 5.64
15827.213	  14.00	-0.654	 7.09
15833.602	  14.00	-0.187	 6.22
15860.210	  24.00	 0.021	 4.70
15891.160	  26.00	-0.018	 6.31
15895.225	  26.00	 0.485	 6.26
15911.302	  26.00	 0.104	 5.87
15934.017	  26.00	-0.294	 6.31
15958.390	  58.01	-1.710	 0.47
16006.540	  29.00	 0.260	 5.35
16008.075	  26.00	 0.273	 6.27
16009.610	  26.00	-0.470	 5.43
16013.780	  28.00	-0.532	 5.31
16040.654	  26.00	 0.317	 5.87
16053.628	  60.01	-2.200	 0.75
16087.162	  26.00	-0.713	 6.28
16102.408	  26.00	 0.546	 5.87
16115.966	  26.00	 0.433	 6.39
16125.899	  26.00	 0.860	 6.35
16129.015	  14.00	-0.659	 7.14
16136.096	  28.00	-0.003	 5.49
16136.823	  20.00	-0.363	 4.53
16150.762	  20.00	-0.032	 4.53
16155.236	  20.00	-0.496	 4.53
16156.557	  26.00	-0.294	 5.96
16157.364	  20.00	 0.246	 4.55
16163.691	  14.00	-0.862	 5.95
16165.029	  26.00	 0.988	 6.32
16171.930	  26.00	-0.445	 6.38
16177.991	  26.00	-0.402	 6.38
16180.900	  26.00	 0.295	 6.28
16198.502	  26.00	-0.444	 5.41
16246.460	  26.00	 0.054	 6.28
16292.840	  26.00	-0.157	 5.92
16310.501	  28.00	 0.222	 5.28
16316.320	  26.00	 1.073	 6.28
16324.451	  26.00	-0.556	 5.39
16327.320	  58.01	-2.400	 0.56
16330.532	  22.00	-0.890	 3.11
16331.524	  26.00	-0.392	 5.98
16363.103	  28.00	 0.588	 5.28
16376.480	  58.01	-1.790	 0.56
16388.850	  11.00	-1.027	 3.75
16434.926	  14.00	-1.187	 5.96
16436.621	  26.00	 0.007	 5.92
16486.666	  26.00	 0.783	 5.83
16524.467	  26.00	 0.688	 6.34
16551.994	  26.00	 0.338	 6.41
16589.439	  28.00	-0.345	 5.47
16635.160	  22.00	-1.582	 2.34
16673.705	  28.00	 0.388	 6.03
16679.160	  26.00	-0.795	 5.92
16693.072	  26.00	-0.143	 6.42
16718.957	  13.00	 0.152	 4.09
16721.463	  26.00	-0.582	 6.38
16722.510	  58.01	-1.650	 0.56
16750.564	  13.00	 0.410	 4.09
16753.064	  26.00	 0.407	 6.38
16757.643	  27.00	-0.923	 3.41
16763.359	  13.00	-0.550	 4.09
16775.250	  27.00	 0.486	 5.55
16815.473	  28.00	-0.417	 5.31
16818.744	  28.00	 0.473	 6.04
16833.053	  26.00	-0.889	 5.96
16927.611	  26.00	-0.163	 6.43
16996.266	  28.00	 0.458	 5.31
17001.025	  28.00	 0.379	 5.49
17011.096	  26.00	 0.102	 5.95
17161.104	  26.00	-0.071	 6.02
17200.312	  26.00	-0.639	 6.36
17234.463	   6.00	 0.293	 9.70
17277.479	  26.00	-0.519	 6.32
17282.291	  26.00	 0.097	 6.43
17302.305	  26.00	 0.123	 6.07
17376.576	  22.00	 0.747	 4.49
17399.387	  28.00	 0.059	 6.07
17433.635	  26.00	 0.029	 6.41
17448.535	   6.00	 0.012	 9.00
17469.920	  26.00	-0.562	 6.41
17480.645	  26.00	 0.317	 6.64
17524.297	  26.00	 0.231	 6.69
17581.900	  26.00	-0.076	 6.38
17640.186	  26.00	-1.960	 5.11
17672.039	   6.00	-1.974	 7.95
17683.916	  26.00	 0.214	 6.34
17689.477	  26.00	-0.141	 6.34
17695.936	  26.00	-0.517	 5.95
17706.613	  26.00	 0.605	 6.58
17712.598	  26.00	-0.141	 6.74
17728.102	  26.00	 0.434	 6.58
17749.615	  12.00	-1.495	 6.73
17755.158	  26.00	-0.675	 6.34
17768.910	   6.00	 0.420	 9.71
17771.123	  26.00	 0.178	 5.95
17793.158	   6.00	-0.045	 9.71
17861.725	  26.00	-0.551	 6.59
17930.154	  26.00	 0.039	 5.87
17951.836	  28.00	 0.322	 6.09
17956.031	  26.00	 0.470	 6.74
17969.510	  14.00	-1.171	 7.11
17986.533	  28.00	 0.990	 6.09
17988.479	  28.00	 0.215	 6.10
21139.760	  14.00	-0.442	 7.29
21163.756	  13.00	-0.009	 4.09
21167.928	  28.00	-1.031	 5.28
21178.154	  26.00	-4.012	 3.02
21213.729	  12.00	-1.559	 6.73
21216.309	  26.00	-0.605	 6.46
