#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-05-06T23:04:34 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-05-06T23:04:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=J/A+A/645/A19/tablea1&-source=J/A+A/645/A19/tablea1&-out=lambdaAir&-out=Line&-out=log(gf)&-out=EP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36450019
#Name: J/A+A/645/A19
#Title: Arcturus Lab (line list) (Fanelli+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/645/a19	    IVOID of underlying data collection
#INFO	creator=Fanelli C.	    First author or institution
#INFO	cites=bibcode:2021A&A...645A..19F	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/645/A19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36450019	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_645_A19_tablea1:
#Name: J/A+A/645/A19/tablea1
#Title: Optical atomic lines
#Column	lambdaAir	(F9.3)	Air wavelength	[ucd=em.wl]
#Column	Line	(F7.2)	Line identification (1)	[ucd=meta.id;spect.line]
#Column	log(gf)	(F6.3)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	EP	(F5.2)	Energy potential	[ucd=phys.energy;phys.atmol.level]
lambdaAir	Line	log(gf)	EP
0.1nm	 	 	eV
---------	-------	------	-----
 4813.113	  26.00	-2.890	 3.27
 4847.311	  20.00	-1.400	 2.93
 4865.610	  22.01	-2.700	 1.12
 4872.907	  26.00	-2.300	 4.22
 4873.442	  28.00	-0.380	 3.70
 4873.750	  26.00	-3.060	 3.30
 4874.009	  22.01	-0.860	 3.09
 4874.353	  26.00	-3.030	 3.07
 4875.030	  26.00	-1.121	 4.73
 4880.908	  22.00	-0.910	 2.15
 4882.702	  27.00	-0.856	 3.25
 4885.080	  22.00	 0.410	 1.89
 4899.514	  27.00	-1.597	 2.04
 4909.757	  21.00	-0.359	 2.01
 4914.380	  60.01	-0.700	 0.38
 4915.229	  22.00	-0.910	 1.89
 4918.012	  26.00	-1.360	 4.23
 4922.265	  24.00	 0.380	 3.10
 4924.301	  26.00	-1.501	 4.80
 4926.148	  22.00	-2.090	 0.82
 4935.831	  28.00	-0.350	 3.94
 4936.335	  24.00	-0.250	 3.11
 4937.726	  22.00	-2.080	 0.81
 4945.444	  28.00	-0.820	 3.80
 4959.119	  60.01	-0.800	 0.06
 4961.387	  60.01	-0.710	 0.63
 4964.927	  24.00	-2.527	 0.94
 4982.130	  39.01	-1.320	 1.03
 4986.222	  26.00	-1.390	 4.22
 4987.160	  60.01	-0.790	 0.74
 4996.367	  22.01	-3.290	 1.58
 4999.112	  26.00	-1.740	 4.19
 5004.043	  26.00	-1.400	 4.21
 5005.167	  22.01	-2.730	 1.57
 5007.730	  26.00	-1.963	 4.29
 5016.477	  26.00	-1.690	 4.26
 5040.614	  22.00	-1.670	 0.83
 5045.414	  22.00	-1.840	 0.85
 5058.496	  26.00	-2.830	 3.64
 5081.574	  21.00	 0.469	 1.45
 5083.731	  21.00	 0.284	 1.44
 5087.419	  39.01	-0.160	 1.08
 5088.153	  26.00	-1.780	 4.15
 5115.777	  26.00	-2.740	 3.57
 5129.156	  22.01	-1.340	 1.89
 5197.567	  26.01	-2.100	 3.23
 5211.530	  22.01	-1.410	 2.59
 5212.688	  27.00	-0.110	 3.51
 5213.806	  26.00	-2.760	 3.94
 5226.539	  22.01	-1.260	 1.57
 5230.967	  22.00	-1.190	 2.24
 5235.183	  27.00	-1.470	 2.14
 5238.961	  24.00	-1.470	 2.71
 5239.813	  21.01	-0.765	 1.46
 5241.458	  24.00	-1.920	 2.71
 5246.354	  22.00	-3.098	 0.81
 5247.565	  24.00	-1.500	 0.96
 5247.920	  27.00	-2.070	 1.79
 5249.580	  60.01	 0.200	 0.98
 5253.021	  26.00	-3.940	 2.28
 5254.648	  27.00	-0.239	 3.97
 5255.330	  25.00	-0.851	 3.13
 5255.505	  60.01	-0.670	 0.20
 5259.973	  22.00	-0.215	 2.74
 5260.387	  20.00	-1.719	 2.52
 5267.269	  26.00	-1.596	 4.37
 5268.334	  28.00	-0.447	 4.54
 5268.608	  22.01	-1.610	 2.60
 5274.229	  58.01	 0.130	 1.04
 5275.747	  24.00	-0.030	 2.89
 5279.650	  26.00	-3.440	 3.30
 5280.626	  27.00	-0.030	 3.63
 5284.608	  26.00	-2.110	 4.19
 5285.127	  26.00	-1.640	 4.43
 5288.794	  22.00	-0.739	 2.43
 5289.816	  39.01	-1.310	 1.03
 5293.160	  60.01	 0.100	 0.82
 5295.776	  22.00	-1.590	 1.07
 5300.011	  22.00	-2.300	 1.05
 5304.180	  24.00	-0.670	 3.46
 5306.460	  60.01	-0.970	 0.86
 5312.856	  24.00	-0.550	 3.45
 5313.237	  22.00	-2.360	 1.07
 5318.349	  21.01	-2.015	 1.36
 5318.771	  24.00	-0.670	 3.44
 5319.810	  60.01	-0.140	 0.55
 5320.036	  26.00	-2.540	 3.64
 5320.783	  39.01	-1.950	 1.08
 5323.928	  22.00	-2.820	 0.83
 5325.274	  27.00	 0.091	 4.02
 5325.552	  26.01	-3.260	 3.22
 5326.790	  26.00	-2.100	 4.42
 5329.784	  24.00	-0.795	 2.91
 5329.989	  26.00	-1.189	 4.08
 5330.556	  58.01	-0.400	 0.87
 5334.240	  21.01	-2.203	 1.50
 5336.786	  22.01	-1.600	 1.58
 5338.306	  22.00	-2.730	 0.83
 5340.447	  24.00	-0.730	 3.44
 5342.701	  27.00	 0.741	 4.02
 5344.756	  24.00	-0.990	 3.45
 5349.465	  20.00	-0.310	 2.71
 5351.068	  22.00	-0.067	 2.78
 5355.770	  21.00	-0.287	 1.95
 5356.091	  21.00	 0.168	 1.86
 5356.970	  60.01	-0.280	 1.26
 5357.199	  21.01	-2.111	 1.51
 5359.200	  27.00	 0.244	 4.15
 5361.170	  60.01	-1.480	 0.56
 5366.639	  22.00	-2.592	 0.82
 5369.589	  27.00	-1.650	 1.74
 5375.355	  21.00	-0.054	 1.97
 5376.600	  22.00	-3.995	 0.00
 5376.830	  26.00	-2.310	 4.29
 5377.607	  25.00	-0.166	 3.84
 5379.573	  26.00	-1.514	 3.69
 5381.021	  22.01	-1.970	 1.57
 5384.630	  22.00	-2.902	 0.83
 5385.575	  26.00	-2.970	 3.69
 5385.888	  60.01	-0.820	 0.74
 5389.989	  22.00	-1.100	 1.87
 5392.331	  28.00	-1.320	 4.15
 5396.247	  22.01	-3.180	 1.58
 5398.278	  26.00	-0.670	 4.45
 5399.475	  25.00	-0.345	 3.85
 5404.991	  24.00	-0.949	 3.38
 5408.130	  27.00	-2.232	 2.28
 5408.940	  22.00	-3.784	 0.00
 5414.070	  26.01	-3.540	 3.22
 5418.768	  22.01	-2.130	 1.58
 5421.551	  60.01	-1.330	 0.38
 5422.495	  22.01	-3.705	 1.57
 5425.249	  26.01	-3.400	 3.20
 5430.780	  60.01	-0.550	 1.22
 5431.520	  60.01	-0.470	 1.12
 5436.294	  26.00	-1.540	 4.39
 5441.338	  26.00	-1.730	 4.31
 5446.195	  21.00	-0.002	 2.01
 5452.088	  26.00	-2.860	 3.64
 5453.642	  22.00	-1.600	 1.44
 5454.570	  27.00	 0.238	 4.07
 5457.457	  25.00	-2.891	 2.16
 5459.682	  22.00	-3.200	 1.05
 5471.192	  22.00	-1.420	 1.44
 5474.223	  22.00	-1.230	 1.46
 5474.730	  60.01	-0.860	 0.99
 5481.861	  22.00	-1.360	 1.43
 5481.991	  21.00	 0.273	 1.86
 5483.099	  26.00	-1.407	 4.15
 5483.354	  27.00	-1.490	 1.71
 5483.954	  27.00	-0.480	 3.63
 5484.626	  21.00	 0.148	 1.85
 5485.700	  60.01	-0.120	 1.26
 5488.191	  22.00	-0.335	 2.40
 5490.147	  22.00	-0.840	 1.46
 5490.693	  22.01	-2.663	 1.57
 5490.846	  22.00	-3.194	 0.05
 5491.832	  26.00	-2.188	 4.19
 5492.862	  22.01	-3.310	 1.58
 5496.562	  26.00	-1.730	 4.91
 5512.980	  20.00	-0.464	 2.93
 5514.534	  22.00	-0.500	 1.44
 5517.533	  14.00	-2.610	 5.08
 5523.297	  27.00	-1.638	 2.33
 5526.790	  21.01	 0.024	 1.77
 5529.160	  26.00	-2.730	 3.64
 5529.999	  22.01	-3.622	 1.58
 5530.775	  27.00	-2.060	 1.71
 5536.580	  26.00	-3.810	 2.83
 5539.280	  26.00	-2.660	 3.64
 5543.935	  26.00	-1.140	 4.22
 5544.611	  39.01	-0.830	 1.74
 5546.505	  26.00	-1.310	 4.37
 5548.450	  60.01	-1.270	 0.55
 5549.949	  26.00	-2.910	 3.69
 5552.224	  21.01	-2.090	 1.46
 5557.063	  13.00	-2.110	 3.14
 5560.211	  26.00	-1.190	 4.43
 5565.474	  22.00	-0.220	 2.24
 5568.074	  26.00	-2.964	 4.15
 5574.008	  23.00	-3.144	 0.04
 5577.024	  26.00	-1.550	 5.03
 5584.497	  23.00	-1.180	 1.06
 5587.574	  26.00	-1.850	 4.14
 5590.114	  20.00	-0.571	 2.52
 5590.738	  27.00	-1.870	 2.04
 5593.735	  28.00	-0.840	 3.90
 5597.061	  26.00	-2.173	 4.99
 5604.936	  23.00	-1.260	 1.04
 5607.664	  26.00	-2.270	 4.15
 5608.972	  26.00	-2.400	 4.21
 5609.960	  26.00	-3.240	 3.64
 5611.356	  26.00	-2.990	 3.64
 5614.773	  28.00	-0.573	 4.15
 5618.632	  26.00	-1.276	 4.21
 5619.224	  26.00	-3.270	 3.69
 5619.595	  26.00	-1.700	 4.39
 5624.021	  26.00	-1.480	 4.39
 5624.874	  23.00	-1.050	 1.05
 5625.317	  28.00	-0.700	 4.09
 5626.018	  23.00	-1.260	 1.04
 5627.630	  23.00	-0.350	 1.08
 5628.642	  24.00	-0.740	 3.42
 5630.131	  39.00	 0.150	 1.36
 5633.946	  26.00	-0.270	 4.99
 5636.695	  26.00	-2.610	 3.64
 5641.001	  21.01	-1.131	 1.50
 5642.359	  24.00	-0.830	 3.86
 5645.613	  14.00	-2.140	 4.93
 5646.107	  23.00	-1.210	 1.05
 5646.684	  26.00	-2.500	 4.26
 5647.234	  27.00	-1.560	 2.28
 5648.565	  22.00	-0.161	 2.50
 5649.386	  24.00	-0.770	 3.84
 5649.987	  26.00	-0.920	 5.10
 5650.705	  26.00	-0.960	 5.09
 5651.468	  26.00	-2.000	 4.47
 5652.317	  26.00	-1.950	 4.26
 5653.864	  26.00	-1.640	 4.39
 5654.919	  14.00	-1.887	 5.61
 5655.176	  26.00	-0.640	 5.06
 5657.440	  23.00	-1.000	 1.06
 5657.896	  21.01	-0.603	 1.51
 5658.361	  21.01	-1.208	 1.50
 5659.574	  26.00	-0.986	 5.09
 5662.150	  22.00	 0.010	 2.32
 5664.030	  24.00	-0.710	 3.43
 5667.149	  21.01	-1.309	 1.50
 5668.362	  23.00	-1.010	 1.08
 5669.042	  21.01	-1.200	 1.50
 5670.848	  23.00	-0.430	 1.08
 5671.821	  21.00	 0.495	 1.45
 5678.600	  26.00	-4.670	 2.42
 5679.023	  26.00	-0.920	 4.65
 5679.917	  22.00	-0.509	 2.47
 5682.199	  28.00	-0.470	 4.11
 5682.633	  11.00	-0.706	 2.10
 5684.202	  21.01	-1.074	 1.51
 5684.484	  14.00	-1.650	 4.95
 5686.529	  26.00	-0.446	 4.55
 5686.847	  21.00	 0.376	 1.44
 5689.460	  22.00	-0.360	 2.30
 5694.740	  24.00	-0.255	 3.86
 5694.983	  28.00	-0.610	 4.09
 5696.088	  26.00	-1.720	 4.55
 5698.519	  23.00	-0.120	 1.06
 5701.104	  14.00	-2.050	 4.93
 5702.660	  22.00	-0.590	 2.29
 5703.575	  23.00	-0.210	 1.05
 5704.732	  26.00	-1.430	 5.03
 5705.464	  26.00	-1.355	 4.30
 5708.399	  14.00	-1.470	 4.95
 5708.636	  21.00	-0.639	 1.45
 5709.932	  26.00	-2.340	 4.26
 5712.771	  24.00	-1.040	 3.01
 5713.880	  22.00	-0.944	 2.29
 5715.821	  20.00	-3.225	 2.71
 5716.450	  22.00	-0.720	 2.30
 5717.307	  21.00	-0.532	 1.44
 5719.815	  24.00	-1.580	 3.01
 5720.436	  22.00	-0.939	 2.29
 5721.707	  26.00	-2.526	 4.15
 5724.107	  21.00	-0.661	 1.43
 5725.639	  23.00	-0.170	 2.37
 5727.044	  23.00	-0.020	 1.08
 5727.655	  23.00	-0.850	 1.05
 5731.249	  23.00	-0.740	 1.06
 5731.762	  26.00	-1.300	 4.26
 5733.999	  23.00	-0.165	 2.36
 5737.062	  23.00	-0.740	 1.06
 5739.469	  22.00	-0.742	 2.25
 5740.860	  60.01	-0.530	 1.16
 5741.847	  26.00	-1.854	 4.26
 5742.960	  26.00	-2.510	 4.18
 5743.438	  23.00	-0.980	 1.08
 5748.351	  28.00	-3.240	 1.68
 5849.683	  26.00	-2.990	 3.69
 5853.148	  26.00	-5.280	 1.48
 5855.075	  26.00	-1.478	 4.61
 5857.451	  20.00	 0.240	 2.93
 5858.778	  26.00	-2.260	 4.22
 5866.451	  22.00	-0.922	 1.07
 5867.562	  20.00	-1.570	 2.93
 5868.107	  66.01	-2.730	 0.00
 5879.487	  26.00	-2.140	 4.61
 5880.270	  22.00	-2.132	 1.05
 5881.279	  26.00	-1.840	 4.61
 5881.750	  26.00	-5.089	 2.18
 5883.816	  26.00	-1.360	 3.96
 5890.485	  27.00	-2.160	 2.04
 5894.092	  22.00	-4.704	 0.00
 5898.215	  26.00	-1.830	 4.73
 5899.293	  22.00	-1.232	 1.05
 5902.472	  26.00	-1.810	 4.59
 5903.315	  22.00	-1.918	 1.07
 5905.671	  26.00	-0.730	 4.65
 5913.728	  22.00	-4.039	 0.02
 5918.536	  22.00	-1.772	 1.07
 5922.110	  22.00	-1.512	 1.05
 5929.677	  26.00	-1.410	 4.55
 5930.180	  26.00	-0.230	 4.65
 5937.809	  22.00	-2.072	 1.07
 5940.649	  22.00	-3.655	 0.05
 5940.991	  26.00	-2.150	 4.18
 5943.578	  26.00	-4.192	 2.20
 5944.660	  22.00	-3.845	 0.00
 5948.541	  14.00	-1.230	 5.08
 5952.718	  26.00	-1.440	 3.98
 5953.160	  22.00	-0.144	 1.89
 5965.828	  22.00	-0.225	 1.88
 5975.818	  58.01	-0.450	 1.33
 5976.776	  26.00	-1.236	 3.94
 5978.541	  22.00	-0.312	 1.87
 5984.815	  26.00	-0.198	 4.73
 5999.658	  22.00	-0.852	 2.24
 6002.303	  23.00	-1.790	 1.22
 6005.026	  27.00	-3.320	 1.71
 6007.310	  28.00	-3.400	 1.68
 6012.209	  26.00	-4.038	 2.22
 6018.639	  22.00	-3.022	 1.05
 6027.050	  26.00	-1.089	 4.08
 6031.670	  22.00	-4.008	 0.05
 6039.726	  23.00	-0.650	 1.06
 6043.373	  58.01	-0.480	 1.21
 6053.685	  28.00	-1.070	 4.24
 6054.073	  26.00	-2.310	 4.37
 6058.142	  23.00	-1.400	 1.04
 6064.626	  22.00	-1.802	 1.05
 6076.310	  26.00	-7.212	 0.96
 6078.491	  26.00	-0.323	 4.80
 6081.442	  23.00	-0.610	 1.05
 6082.422	  27.00	-0.520	 3.51
 6086.282	  28.00	-0.530	 4.27
 6086.657	  27.00	-0.831	 3.41
 6090.208	  23.00	-0.070	 1.08
 6091.171	  22.00	-0.452	 2.27
 6091.919	  14.00	-1.463	 5.87
 6092.792	  22.00	-1.380	 1.89
 6093.141	  27.00	-2.440	 1.74
 6093.642	  26.00	-1.500	 4.61
 6094.373	  26.00	-1.940	 4.65
 6096.664	  26.00	-1.930	 3.98
 6098.243	  26.00	-1.880	 4.56
 6098.658	  22.00	-0.010	 3.06
 6105.127	  26.00	-2.050	 4.55
 6111.070	  28.00	-0.870	 4.09
 6111.650	  23.00	-0.740	 1.04
 6113.319	  26.01	-4.200	 3.22
 6116.990	  27.00	-2.490	 1.79
 6119.527	  23.00	-0.360	 1.06
 6120.246	  26.00	-5.950	 0.91
 6122.633	  27.00	-0.851	 3.57
 6125.021	  14.00	-1.465	 5.61
 6126.216	  22.00	-1.206	 1.07
 6127.906	  26.00	-1.399	 4.14
 6128.973	  28.00	-3.430	 1.68
 6130.135	  28.00	-0.960	 4.27
 6131.573	  14.00	-1.557	 5.62
 6131.852	  14.00	-1.617	 5.62
 6135.365	  23.00	-0.760	 1.05
 6142.483	  14.00	-1.296	 5.62
 6145.016	  14.00	-1.311	 5.62
 6146.207	  22.00	-1.480	 1.87
 6149.246	  26.01	-2.800	 3.89
 6149.725	  22.00	-1.440	 2.16
 6154.226	  11.00	-1.547	 2.10
 6156.023	  20.00	-2.506	 2.52
 6160.747	  11.00	-1.246	 2.10
 6161.297	  20.00	-1.266	 2.52
 6163.755	  20.00	-1.286	 2.52
 6166.439	  20.00	-1.142	 2.52
 6169.042	  20.00	-0.797	 2.52
 6169.563	  20.00	-0.478	 2.53
 6175.367	  28.00	-0.530	 4.09
 6176.812	  28.00	-0.260	 4.09
 6178.218	  21.01	-2.838	 1.46
 6187.397	  26.00	-4.158	 2.83
 6189.364	  23.00	-2.970	 0.28
 6195.433	  14.00	-1.566	 5.87
 6199.506	  26.00	-4.430	 2.56
 6204.604	  28.00	-1.080	 4.09
 6210.658	  21.00	-1.529	 0.00
 6213.866	  23.00	-2.050	 0.30
 6220.779	  26.00	-2.460	 3.88
 6224.529	  23.00	-2.010	 0.29
 6226.734	  26.00	-2.220	 3.88
 6230.089	  28.00	-1.260	 4.11
 6233.164	  23.00	-2.070	 0.28
 6237.319	  14.00	-0.975	 5.61
 6239.408	  21.00	-2.274	 0.00
 6239.762	  21.00	-1.780	 0.00
 6242.822	  23.00	-1.590	 0.26
 6243.814	  14.00	-1.244	 5.62
 6245.637	  21.01	-1.022	 1.51
 6247.557	  26.01	-2.400	 3.89
 6251.823	  23.00	-1.370	 0.29
 6253.828	  26.00	-1.660	 4.73
 6256.900	  23.00	-2.020	 0.28
 6257.573	  27.00	-0.716	 3.71
 6257.803	  22.00	-4.061	 0.00
 6258.102	  22.00	-0.390	 1.44
