v	1-F	EW0	WLobs	WLvald	ID	Trans	cp	M
10387.67	 0.166	  33	 962.68	       	U   	                 	D  	F
10387.21	 0.075	   4	 962.72	 962.72	CN  	CN2-1Q_{12}25.5  	Q4 	B
10387.15	 0.096	  20	 962.73	 962.73	CN  	CN2-1P_{1}26.5   	Q4 	A
10386.87	 0.130	  20	 962.75	       	U   	                 	X  	F
10386.81	 0.103	  22	 962.76	 962.76	CN  	CN1-0R_{1}59.5   	Q4 	A
10386.12	 0.127	  19	 962.82	 962.83	FeI 	                 	D  	B
10386.06	 0.107	   2	 962.83	 962.84	FeI 	                 	D  	B
10385.71	 0.208	  33	 962.86	 962.87	CN  	CN1-0P_{2}42.5   	X  	A
10385.65	 0.187	  21	 962.87	       	U   	                 	X  	F
10385.19	 0.290	  79	 962.91	 962.91	FeI 	                 	D  	B
10384.85	 0.193	  41	 962.94	 962.95	FeI 	                 	D  	A
10382.88	 0.084	   2	 963.12	 963.11	CrI 	                 	X  	B
10382.94	 0.102	  21	 963.12	 963.12	CN  	CN2-1R_{1}43.5   	X  	A
10382.14	 0.015	   2	 963.19	       	U   	                 	S  	F
10381.62	 0.037	   5	 963.24	       	CN  	13CN1-0P_{1}42.5 	S  	F
10380.81	 0.066	  16	 963.32	       	U   	                 	D  	F
10380.64	 0.033	   3	 963.33	 963.34	FeI 	                 	D  	B
10379.89	 0.037	   9	 963.40	 963.40	FeI 	                 	X  	B
10379.25	 0.120	  35	 963.46	       	U   	                 	D  	F
10379.19	 0.103	  36	 963.47	 963.47	CN  	CN2-1R_{2}43.5   	D  	A
10378.79	 0.065	   6	 963.50	       	CN  	CN2-1Q_{21}44.5  	D  	F
10378.56	 0.024	   3	 963.52	       	U   	                 	S  	F
10378.33	 0.035	   2	 963.55	       	CN  	CN3-2R_{1}0.5    	X  	F
10377.93	 0.194	  49	 963.58	       	U   	                 	X  	F
10377.87	 0.158	  56	 963.59	 963.59	CN  	CN2-1Q_{1}34.5   	S  	A
10376.89	 0.344	   2	 963.68	 963.68	CN  	CN3-2R_{2}5.5    	Q6 	B
10376.77	 0.316	  38	 963.69	 963.69	CN  	CN2-1Q_{2}34.5   	Q6 	A
10376.83	 0.349	  68	 963.69	 963.68	FeI 	                 	Q6 	A
10376.60	 0.276	  58	 963.71	 963.71	CN  	CN1-0Q_{2}50.5   	Q6 	A
10376.43	 0.094	   2	 963.72	 963.73	CN  	CN3-2R_{2}2.5    	Q6 	B
10376.48	 0.145	   2	 963.72	 963.72	CN  	CN3-2R_{2}6.5    	Q6 	B
10374.93	 0.048	   9	 963.86	 963.86	CN  	CN2-1P_{2}27.5   	X  	A
10374.41	 0.171	  23	 963.91	 963.91	CN  	CN1-0P_{1}43.5   	X  	A
10374.35	 0.137	  12	 963.92	 963.92	CN  	CN1-0R_{2}59.5   	X  	A
10372.45	 0.605	 192	 964.09	 964.09	TiI 	                 	S  	A
10371.12	 0.029	   4	 964.22	 964.21	CN  	CN3-2R_{2}10.5   	X  	B
10370.84	 0.026	   4	 964.24	 964.24	CN  	CN6-4Q_{2}69.5   	X  	B
10369.86	 0.025	   3	 964.33	 964.34	FeI 	                 	X  	B
10368.88	 0.047	  11	 964.42	       	CN  	CN3-2R_{2}11.5   	T  	F
10368.59	 0.110	  26	 964.45	 964.46	CN  	CN2-1R_{1}44.5   	T  	A
10368.53	 0.108	   4	 964.46	 964.46	CN  	CN2-1P_{12}21.5  	T  	B
10367.38	 0.242	  62	 964.56	 964.57	CN  	CN1-0Q_{1}51.5   	X  	A
10366.40	 0.023	   3	 964.65	 964.65	CN  	CN3-2R_{2}12.5   	S  	B
10366.06	 0.097	  23	 964.69	 964.69	CN  	CN1-0R_{1}60.5   	X  	A
10362.72	 0.489	 144	 965.00	 965.00	TiI 	                 	D  	A
10362.20	 0.165	  38	 965.05	 965.05	CN  	CN2-1Q_{2}35.5   	D  	A
10361.28	 0.015	   2	 965.13	 965.13	FeI 	                 	X  	B
10360.24	 0.096	  14	 965.23	 965.22	SI  	                 	D  	B
10360.18	 0.032	   5	 965.23	 965.23	CN  	CN3-2R_{2}14.5   	D  	B
10359.78	 0.118	  32	 965.27	 965.27	CN  	CN2-1P_{2}28.5   	S  	A
10359.03	 0.077	   5	 965.34	 965.34	CN  	CN2-1Q_{12}27.5  	D  	B
10358.92	 0.110	  26	 965.35	 965.36	CN  	CN2-1P_{1}28.5   	D  	A
10358.11	 0.012	   1	 965.43	 965.44	TiI 	                 	X  	A
10356.73	 0.113	   6	 965.56	 965.56	CN  	CN3-2R_{2}15.5   	D  	B
10356.56	 0.337	  79	 965.57	 965.58	FeI 	                 	D  	A
10355.75	 0.217	  53	 965.65	 965.65	CN  	CN1-0Q_{2}51.5   	X  	A
10354.89	 0.012	   2	 965.73	 965.74	CN  	CN3-2Q_{2}5.5    	X  	B
10353.85	 0.121	   4	 965.82	 965.82	CN  	CN1-0Q_{12}43.5  	T  	B
10353.74	 0.167	  20	 965.83	 965.83	CN  	CN2-1R_{1}45.5   	T  	A
10353.68	 0.197	  46	 965.84	 965.85	CN  	CN1-0P_{1}44.5   	T  	A
10353.11	 0.117	  26	 965.89	 965.90	CN  	CN1-0R_{2}60.5   	S  	A
10352.13	 0.213	  54	 965.98	 965.99	FeI 	                 	S  	B
10351.55	 0.022	   3	 966.04	       	U   	                 	X  	F
10350.86	 0.167	  52	 966.10	 966.11	CI  	                 	D  	A
10350.92	 0.163	   4	 966.10	 966.10	CN  	CN3-2Q_{2}6.5    	D  	B
10350.12	 0.155	  44	 966.17	 966.17	FeI 	                 	D  	A
10349.77	 0.167	  38	 966.21	 966.21	CN  	CN2-1Q_{1}36.5   	D  	A
10348.97	 0.061	   9	 966.28	 966.28	CN  	CN2-1R_{2}45.5   	X  	A
10347.70	 0.025	   3	 966.40	       	U   	                 	X  	F
10344.83	 0.085	  11	 966.67	 966.67	CN  	CN1-0R_{1}61.5   	S  	B
10344.54	 0.066	  10	 966.69	 966.71	CN  	CN2-1Q_{12}28.5  	T  	B
10344.25	 0.161	  21	 966.72	 966.73	CN  	CN2-1P_{2}29.5   	T  	A
10344.19	 0.147	  18	 966.73	 966.73	CN  	CN2-1P_{1}29.5   	T  	A
10343.56	 0.062	   7	 966.78	 966.79	CN  	CN3-2R_{2}18.5   	Q6 	B
10343.50	 0.085	   5	 966.79	 966.79	CN  	CN3-2R_{1}9.5    	Q6 	B
10343.45	 0.108	   1	 966.80	 966.79	CN  	CN3-2R_{1}10.5   	Q6 	B
10343.28	 0.214	  47	 966.81	 966.82	CN  	CN1-0P_{2}44.5   	Q6 	A
10343.05	 0.060	   4	 966.83	 966.84	CN  	CN3-2R_{1}8.5    	Q6 	B
10342.99	 0.034	   5	 966.84	 966.84	CN  	CN3-2R_{1}11.5   	Q6 	B
10342.18	 0.027	   2	 966.91	 966.91	CN  	CN3-2Q_{2}8.5    	X  	A
10342.13	 0.021	   2	 966.92	 966.92	CN  	CN3-2R_{1}12.5   	X  	B
10341.38	 0.177	  37	 966.99	 966.99	CrI 	                 	X  	A
10340.80	 0.014	   1	 967.04	 967.05	CN  	CN3-2R_{1}6.5    	X  	B
10340.75	 0.023	   2	 967.05	 967.05	CN  	CN3-2R_{1}13.5   	X  	B
10338.91	 0.006	   2	 967.22	 967.22	CN  	CN3-2R_{1}14.5   	X  	B
10338.85	 0.033	   1	 967.23	 967.23	CN  	CN3-2R_{1}5.5    	X  	B
10338.74	 0.049	   7	 967.24	 967.25	CN  	CN2-1R_{1}46.5   	X  	A
10337.93	 0.342	  75	 967.31	 967.32	CrI 	                 	X  	A
10337.42	 0.029	   7	 967.36	 967.37	CN  	CN3-2Q_{2}9.5    	X  	B
10337.07	 0.008	   1	 967.39	 967.39	CN  	CN2-1P_{12}23.5  	X  	B
10336.67	 0.037	   9	 967.43	 967.43	CN  	CN3-2R_{1}15.5   	S  	B
10336.21	 0.026	   5	 967.47	 967.49	SI  	                 	D  	A
10336.04	 0.025	   5	 967.49	       	CN  	CN3-2P_{2}5.5    	D  	F
10335.12	 0.193	  51	 967.57	 967.58	CN  	CN2-1Q_{1}37.5   	D  	A
10334.54	 0.234	  66	 967.63	 967.63	CN  	CN1-0Q_{2}52.5   	D  	A
10334.09	 0.036	   5	 967.67	 967.68	CN  	CN3-2R_{1}16.5   	S  	B
10333.22	 0.101	  20	 967.75	 967.76	CN  	CN2-1R_{2}46.5   	Q9 	A
10332.94	 0.069	   8	 967.78	 967.78	CN  	CN3-2R_{2}20.5   	Q9 	B
10332.76	 0.214	   5	 967.80	 967.80	CN  	CN1-0Q_{12}44.5  	Q9 	B
10332.54	 0.590	 149	 967.82	 967.82	TiI 	                 	Q9 	A
10332.42	 0.361	  49	 967.83	 967.83	CN  	CN1-0P_{1}45.5   	Q9 	B
10332.13	 0.060	   8	 967.85	 967.85	CN  	CN3-2Q_{2}10.5   	Q9 	B
10331.85	 0.155	  53	 967.88	 967.88	CN  	CN2-1Q_{2}37.5   	Q9 	A
10331.44	 0.153	  28	 967.92	 967.92	FeI 	                 	Q9 	B
10331.33	 0.092	  25	 967.93	 967.93	CN  	CN1-0R_{2}61.5   	Q9 	A
10330.87	 0.050	   9	 967.97	 967.97	CN  	CN3-2R_{1}17.5   	S  	B
10330.47	 0.021	   3	 968.01	       	CN  	CN3-2R_{1}2.5    	X  	F
10329.21	 0.079	   5	 968.13	 968.12	CN  	CN2-1Q_{12}29.5  	D  	B
10329.09	 0.136	  35	 968.14	 968.14	CN  	CN2-1P_{1}30.5   	D  	A
10328.35	 0.090	  16	 968.21	 968.22	CN  	CN2-1P_{2}30.5   	X  	A
10326.62	 0.019	   3	 968.37	 968.37	CN  	CN3-2Q_{2}11.5   	X  	B
10325.59	 0.211	  50	 968.47	 968.47	CN  	CN1-0Q_{1}53.5   	X  	A
10325.02	 0.018	   2	 968.52	       	U   	                 	X  	F
10323.30	 0.136	   6	 968.68	 968.68	CN  	CN3-2R_{1}19.5   	T  	B
10323.18	 0.181	  26	 968.69	 968.70	CN  	CN1-0R_{1}62.5   	T  	A
10323.13	 0.153	  21	 968.70	 968.70	CN  	CN2-1R_{1}47.5   	T  	A
10321.52	 0.178	  39	 968.85	 968.86	CN  	CN1-0P_{2}45.5   	X  	A
10321.46	 0.163	   2	 968.85	 968.87	CN  	CN3-2P_{2}7.5    	X  	B
10320.83	 0.057	   3	 968.91	 968.92	CN  	CN2-1P_{12}24.5  	T  	B
10320.77	 0.064	   6	 968.92	 968.92	CN  	CN3-2Q_{2}12.5   	T  	A
10320.72	 0.056	   5	 968.92	 968.93	CN  	CN3-2R_{2}22.5   	T  	B
10320.03	 0.178	  41	 968.99	 968.99	CN  	CN2-1Q_{1}38.5   	S  	A
10319.17	 0.017	   1	 969.07	       	CN  	CN3-2Q_{1}3.5    	X  	F
10319.11	 0.018	   1	 969.08	       	CN  	CN3-2Q_{1}2.5    	X  	F
10318.82	 0.032	   3	 969.10	 969.10	CN  	CN3-2Q_{1}4.5    	Q6 	B
10318.88	 0.037	   7	 969.10	 969.10	CN  	CN3-2R_{1}20.5   	Q6 	B
10318.48	 0.278	   8	 969.13	 969.13	CaI 	                 	Q6 	B
10318.31	 0.420	 140	 969.15	 969.15	TiI 	                 	Q6 	A
10317.91	 0.107	   8	 969.19	 969.19	CN  	CN3-2Q_{1}5.5    	Q6 	B
10317.74	 0.115	  34	 969.20	 969.20	SiI 	                 	Q6 	A
10317.11	 0.073	  15	 969.26	 969.27	CN  	CN2-1R_{2}47.5   	S  	A
10316.76	 0.018	   4	 969.30	 969.31	CN  	CN3-2Q_{1}6.5    	S  	B
10316.19	 0.169	  44	 969.35	 969.36	CN  	CN2-1Q_{2}38.5   	D  	A
10315.79	 0.040	   8	 969.39	 969.39	TiII	                 	D  	B
10314.76	 0.021	   4	 969.48	 969.49	CN  	CN3-2Q_{1}7.5    	X  	B
10314.58	 0.041	   7	 969.50	 969.51	CN  	CN3-2Q_{2}13.5   	X  	A
10314.07	 0.045	   8	 969.55	 969.55	CN  	CN3-2R_{1}21.5   	S  	B
10313.55	 0.110	  24	 969.60	 969.60	CN  	CN2-1P_{1}31.5   	Q5 	A
10313.38	 0.042	   4	 969.61	 969.61	CN  	CN3-2P_{2}8.5    	Q5 	B
10313.21	 0.057	   4	 969.63	 969.63	SI  	                 	Q5 	B
10313.04	 0.210	  24	 969.65	 969.65	FeI 	                 	Q5 	A
10312.92	 0.251	  58	 969.66	 969.66	CN  	CN1-0Q_{2}53.5   	Q5 	A
10312.52	 0.018	   2	 969.70	 969.70	CN  	CN3-2Q_{1}8.5    	S  	B
10312.01	 0.100	  22	 969.74	 969.75	CN  	CN2-1P_{2}31.5   	S  	A
10310.86	 0.165	  40	 969.85	 969.85	CN  	CN1-0P_{1}46.5   	X  	A
10309.71	 0.015	   2	 969.96	 969.97	CN  	CN3-2Q_{1}9.5    	X  	B
10309.31	 0.090	  18	 970.00	 970.00	CN  	CN1-0R_{2}62.5   	X  	A
10307.94	 0.032	   4	 970.13	 970.13	CN  	CN3-2Q_{2}14.5   	X  	A
10307.08	 0.105	  19	 970.21	 970.20	CN  	CN2-1R_{1}48.5   	X  	A
10307.02	 0.062	   8	 970.21	 970.21	CN  	CN3-2R_{2}24.5   	X  	B
10306.74	 0.188	  49	 970.24	 970.24	FeI 	                 	X  	A
10306.68	 0.166	   6	 970.24	 970.24	FeI 	                 	X  	B
10305.25	 0.077	   5	 970.38	 970.39	CN  	CN3-2P_{2}9.5    	X  	B
10304.45	 0.241	  56	 970.45	 970.46	CaI 	                 	T  	A
10304.50	 0.233	  37	 970.45	 970.45	CN  	CN2-1Q_{1}39.5   	T  	A
10304.10	 0.247	  53	 970.49	 970.49	CN  	CN1-0Q_{1}54.5   	T  	A
10303.13	 0.035	   5	 970.58	 970.56	TiI 	                 	D  	A
10303.01	 0.027	   3	 970.59	 970.59	FeI 	                 	D  	B
10302.73	 0.026	   7	 970.62	 970.62	CN  	CN3-2Q_{1}11.5   	D  	B
10302.50	 0.034	   5	 970.64	       	U   	                 	D  	F
10301.13	 0.102	  36	 970.77	 970.77	CN  	CN1-0R_{1}63.5   	Q4 	A
10300.61	 0.293	  15	 970.82	 970.82	CN  	CN2-1R_{2}48.5   	Q4 	B
10300.50	 0.518	 163	 970.83	 970.83	TiI 	                 	Q4 	A
10300.04	 0.156	  37	 970.87	 970.88	CN  	CN2-1Q_{2}39.5   	Q4 	A
10299.58	 0.051	   8	 970.91	 970.91	CN  	CN3-2R_{2}25.5   	D  	B
10299.35	 0.172	  39	 970.93	 970.94	CN  	CN1-0P_{2}46.5   	D  	A
10298.55	 0.036	   8	 971.01	 971.01	CN  	CN3-2Q_{1}12.5   	S  	A
10297.81	 0.023	   4	 971.08	 971.08	CN  	CN2-1Q_{12}31.5  	D  	B
10297.58	 0.098	  18	 971.10	 971.10	CN  	CN2-1P_{1}32.5   	D  	A
10297.24	 0.036	   4	 971.13	       	U   	                 	X  	F
10297.01	 0.027	   4	 971.16	 971.16	CN  	CN3-2R_{1}24.5   	S  	B
10295.23	 0.112	  29	 971.32	 971.32	CN  	CN2-1P_{2}32.5   	S  	A
10294.09	 0.050	   1	 971.43	 971.43	FeI 	                 	T  	A
10294.03	 0.057	  10	 971.44	 971.44	CN  	CN3-2Q_{1}13.5   	T  	B
10293.69	 0.037	  11	 971.47	 971.47	CN  	CN3-2Q_{2}16.5   	T  	A
10291.80	 0.016	   2	 971.65	 971.65	CN  	CN3-2R_{2}26.5   	X  	B
10289.23	 0.015	   5	 971.89	 971.89	CN  	CN1-0Q_{12}46.5  	Q5 	B
10288.89	 0.189	  40	 971.92	 971.92	CN  	CN1-0P_{1}47.5   	Q5 	A
10288.83	 0.166	  11	 971.93	 971.92	CN  	CN3-2Q_{1}14.5   	Q5 	B
10288.66	 0.187	  38	 971.94	 971.95	CN  	CN2-1Q_{1}40.5   	Q5 	B
10288.37	 0.040	  13	 971.97	 971.97	TiI 	                 	Q5 	A
