Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,gi   gk,Type,TP,Line
C I,,702.418069,14236.5358,,41000.0,0.00042,C,8.643023685   -     10.40812917,2s2.2p.3p       | 3D   | 2,2s2.2p.4d            | 1F*     | 3,5 - 7,,T6070,
C III,703.919,703.919,14206.18,150w,74600000.0,0.924,B,38.435885      -     40.197226,1s2.2p.(2P*).3s | 1P*  | 1,1s2.2s.4d            | 1D      | 2,3 - 5,,T5633,L1113
C II,704.8203,704.8195,14188.01,11,32100000.0,0.12,B,22.898766      -     24.657857,2s.2p.(3P*).3p  | 4S   | 3/2,2s.2p.(3P*).3d       | 4P*     | 1/2,4 - 2,,T5109LS,L1176
C II,705.5035,705.5037,14174.27,18,31900000.0,0.238,B,22.898766      -     24.656151,2s.2p.(3P*).3p  | 4S   | 3/2,2s.2p.(3P*).3d       | 4P*     | 3/2,4 - 4,,T5109LS,L1176
C I,705.8817,705.88479,14166.68,2700,160000.0,0.00071,C,8.643023685   -     10.3994604,2s2.2p.3p       | 3D   | 2,2s2.2p.5s            | 1P*     | 1,5 - 3,,T6070,L17684
C II,706.5648,706.564,14152.98,31,31700000.0,0.356,B,22.898766      -     24.653514,2s.2p.(3P*).3p  | 4S   | 3/2,2s.2p.(3P*).3d       | 4P*     | 5/2,4 - 6,,T5109LS,L1176
C I,,706.784766,14148.5789,,2300.0,2.8e-05,E,8.64039604    -     10.39459625,2s2.2p.3p       | 3D   | 1,2s2.2p.4d            | 3D*     | 2,3 - 5,,T6070n,
C I,,707.304482,14138.1827,,27000.0,0.00029,D,8.643023685   -     10.39593494,2s2.2p.3p       | 3D   | 2,2s2.2p.4d            | 3D*     | 3,5 - 7,,T6070n,
U I,707.674,,14130.8,23,,,,,|      |,|         |,,,,L3475
C I,707.6815,707.68084,14130.65,4100,340000.0,0.0026,D+,8.64039604    -     10.39237505,2s2.2p.3p       | 3D   | 1,2s2.2p.4d            | 3D*     | 1,3 - 3,,T6070n,L17684
C I,707.843,707.845056,14127.43,9900,300000.0,0.0022,D+,8.643023685   -     10.39459625,2s2.2p.3p       | 3D   | 2,2s2.2p.4d            | 3D*     | 2,5 - 5,,T6070n,L17684
C I,708.7465,708.74383,14109.42,2700,190000.0,0.0008,D+,8.643023685   -     10.39237505,2s2.2p.3p       | 3D   | 2,2s2.2p.4d            | 3D*     | 1,5 - 3,,T6070n,L17684
C I,708.9781,708.977606,14104.81,18000,690000.0,0.0052,C,8.647160399   -     10.39593494,2s2.2p.3p       | 3D   | 3,2s2.2p.4d            | 3D*     | 3,7 - 7,,T6070n,L17684
C I,,709.139687,14101.5941,,14900.0,0.000187,B,8.64039604    -     10.38877088,2s2.2p.3p       | 3D   | 1,2s2.2p.5s            | 3P*     | 2,3 - 5,,T6070n,
C I,709.521,709.520742,14094.03,12000p,530000.0,0.0029,D+,8.647160399   -     10.39459625,2s2.2p.3p       | 3D   | 3,2s2.2p.4d            | 3D*     | 2,7 - 5,,T6070n,L17684
C I,710.2081,710.20706,14080.38,19000,900000.0,0.0068,B,8.643023685   -     10.38877088,2s2.2p.3p       | 3D   | 2,2s2.2p.5s            | 3P*     | 2,5 - 5,,T6070n,L17684
U I,710.357,,14077.43,27,,,,,|      |,|         |,,,,L3475
C II,710.464,710.464,14075.32,20p(Ni II)*,1900000.0,0.019,C,22.187763      -     23.932878,2s2.5f          | 2F*  | 5/2,2s2.11g              | 2G      | 7/2,6 - 8,,T10528,"L21568,L22145"
C II,710.464,710.468,14075.32,20p(Ni II)*,2000000.0,0.019,C,22.187773      -     23.932879,2s2.5f          | 2F*  | 7/2,2s2.11g              | 2G      | 9/2,8 - 10,,T10528,"L21568,L22145"
C II,710.464,710.468,14075.32,20p(Ni II)*,70000.0,0.0005,E,22.187773      -     23.932878,2s2.5f          | 2F*  | 7/2,2s2.11g              | 2G      | 7/2,8 - 8,,T10528,"L21568,L22145"
C I,711.0895,711.08862,14062.93,14000,1120000.0,0.0085,B,8.64039604    -     10.38397899,2s2.2p.3p       | 3D   | 1,2s2.2p.5s            | 3P*     | 1,3 - 3,,T6070n,L17684
C I,711.3436,711.341849,14057.9,32000,2170000.0,0.027,B,8.64039604    -     10.38335829,2s2.2p.3p       | 3D   | 1,2s2.2p.4d            | 3F*     | 2,3 - 5,,T6070n,L17684
C II,711.4441,711.4435,14055.92,18,29400000.0,0.446,B,22.527518      -     24.270232,2s.2p.(3P*).3p  | 4D   | 1/2,2s.2p.(3P*).3d       | 4F*     | 3/2,2 - 4,,T5109LS,L1176
C II,711.5001,711.4992,14054.81,31,31500000.0,0.359,B,22.529299      -     24.271876,2s.2p.(3P*).3p  | 4D   | 3/2,2s.2p.(3P*).3d       | 4F*     | 5/2,4 - 6,,T5109LS,L1176
C I,711.5141,711.51266,14054.54,110000,2470000.0,0.0241,B,8.647160399   -     10.389704212,2s2.2p.3p       | 3D   | 3,2s2.2p.4d            | 3F*     | 4,7 - 9,,T6070n,L17684
C I,711.715,711.71325,14050.57,110000*,4400000.0,0.0112,B,8.64039604    -     10.38244873,2s2.2p.3p       | 3D   | 1,2s2.2p.5s            | 3P*     | 0,3 - 1,,T6070n,L17684
C I,711.715,711.714043,14050.57,110000*,2190000.0,0.0233,B,8.643023685   -     10.385074438,2s2.2p.3p       | 3D   | 2,2s2.2p.4d            | 3F*     | 3,5 - 7,,T6070n,L17684
C II,711.7592,711.7595,14049.7,42,36000000.0,0.365,B,22.532400      -     24.274339,2s.2p.(3P*).3p  | 4D   | 5/2,2s.2p.(3P*).3d       | 4F*     | 7/2,6 - 8,,T5109LS,L1176
C I,711.8952,711.893961,14047.01,45000,3300000.0,0.0177,B,8.647160399   -     10.38877088,2s2.2p.3p       | 3D   | 3,2s2.2p.5s            | 3P*     | 2,7 - 5,,T6070n,L17684
C I,712.1634,712.16187,14041.72,37000,3100000.0,0.0142,B,8.643023685   -     10.38397899,2s2.2p.3p       | 3D   | 2,2s2.2p.5s            | 3P*     | 1,5 - 3,,T6070n,L17684
C II,712.186,712.1711,14041.27,70*,11700000.0,0.0889,B,22.529299      -     24.270232,2s.2p.(3P*).3p  | 4D   | 3/2,2s.2p.(3P*).3d       | 4F*     | 3/2,4 - 4,,T5109LS,L1176
C II,712.186,712.1888,14041.27,70*,41900000.0,0.398,B,22.536905      -     24.277795,2s.2p.(3P*).3p  | 4D   | 7/2,2s.2p.(3P*).3d       | 4F*     | 9/2,8 - 10,,T5109LS,L1176
C I,712.4159,712.415867,14036.74,4200,201000.0,0.00153,B,8.643023685   -     10.38335829,2s2.2p.3p       | 3D   | 2,2s2.2p.4d            | 3F*     | 2,5 - 5,,T6070n,L17684
C II,712.7694,712.7675,14029.78,24,10200000.0,0.0774,B,22.532400      -     24.271876,2s.2p.(3P*).3p  | 4D   | 5/2,2s.2p.(3P*).3d       | 4F*     | 5/2,6 - 6,,T5109LS,L1176
U I,713.087,,14023.54,30,,,,,|      |,|         |,,,,L3475
C I,713.4078,713.408118,14017.23,4200,117000.0,0.00089,B,8.647160399   -     10.385074438,2s2.2p.3p       | 3D   | 3,2s2.2p.4d            | 3F*     | 3,7 - 7,,T6070n,L17684
C II,713.442,713.4418,14016.56,5,833000.0,0.00424,B,22.532400      -     24.270232,2s.2p.(3P*).3p  | 4D   | 5/2,2s.2p.(3P*).3d       | 4F*     | 3/2,6 - 4,,T5109LS,L1176
C II,713.6077,713.6052,14013.3,18,5930000.0,0.0453,B,22.536905      -     24.274339,2s.2p.(3P*).3p  | 4D   | 7/2,2s.2p.(3P*).3d       | 4F*     | 7/2,8 - 8,,T5109LS,L1176
C I,714.14,714.113289,14003.0,4200,21000.0,0.000112,C+,8.647160399   -     10.38335829,2s2.2p.3p       | 3D   | 3,2s2.2p.4d            | 3F*     | 2,7 - 5,,T6070n,L2138
C II,714.616,714.6185,13993.53,5,350000.0,0.002,C,22.536905      -     24.271876,2s.2p.(3P*).3p  | 4D   | 7/2,2s.2p.(3P*).3d       | 4F*     | 5/2,8 - 6,,T10528,L1176
U I,714.986,,13986.29,16,,,,,|      |,|         |,,,,L3475
C III,,715.97,13967.06,,53200.0,0.000409,D,41.248462      -     42.980156,1s2.2p.(2P*).3d | 1D*  | 2,1s2.2s.5d            | 1D      | 2,5 - 5,,T5633,
C II,716.253,716.261,13961.54,m(He I),900000.0,0.009,E,22.202225      -    [23.933217],2s2.5g          | 2G   | 7/2,2s2.11h              | 2H*     | 9/2,8 - 10,,T10528,"L21568,L22145"
C II,716.253,716.265,13961.54,m(He I),20000.0,0.00016,E,22.202234      -    [23.933217],2s2.5g          | 2G   | 9/2,2s2.11h              | 2H*     | 9/2,10 - 10,,T10528,"L21568,L22145"
C II,716.253,716.265,13961.54,m(He I),900000.0,0.008,E,22.202234      -    [23.933217],2s2.5g          | 2G   | 9/2,2s2.11h              | 2H*     | 11/2,10 - 12,,T10528,"L21568,L22145"
C I,720.4249,720.4245,13880.7,4500,500000.0,0.0024,D,9.00258381    -     10.7235720,2s2.2p.3p       | 1D   | 2,2s2.2p.5d            | 1P*     | 1,5 - 3,,T5520,L17684
C I,721.8018,721.8001,13854.22,1700,240000.0,0.006,D,9.17184612    -     10.889554,2s2.2p.3p       | 1S   | 0,2s2.2p.6d            | 1P*     | 1,1 - 3,,T5520,L17684
C I,722.6232,722.6231,13838.47,4500,,,,9.00258381    -     10.718336,2s2.2p.3p       | 1D   | 2,2s2.2p.5d            | 1F*     | 3,5 - 7,,,L17684
C II,723.3313,723.3342,13824.92,430,34800000.0,0.546,A,16.3317419     -     18.045807,2s2.3p          | 2P*  | 1/2,2s2.3d               | 2D      | 3/2,2 - 4,,T7194,L1176
C II,723.8414,723.8419,13815.18,800,41800000.0,0.492,A,16.3331238     -     18.045987,2s2.3p          | 2P*  | 3/2,2s2.3d               | 2D      | 5/2,4 - 6,,T7194,L1176
C II,723.9164,723.9179,13813.75,41,6960000.0,0.0547,A,16.3331238     -     18.045807,2s2.3p          | 2P*  | 3/2,2s2.3d               | 2D      | 3/2,4 - 4,,T7194,L1176
C I,724.3315,724.3312,13805.83,4600,900000.0,0.0042,D,9.00258381    -     10.7142898,2s2.2p.3p       | 1D   | 2,2s2.2p.6s            | 1P*     | 1,5 - 3,,T5520,L17684
C IV,,725.253,13788.3,,6600000.0,0.052,B,[60.00195]      -    [61.71149],1s2.7p          | 2P*  | 1/2,1s2.9s               | 2S      | 1/2,2 - 2,,T3225LS,
C IV,,725.379,13785.9,,13200000.0,0.0521,B,[60.00225]      -    [61.71149],1s2.7p          | 2P*  | 3/2,1s2.9s               | 2S      | 1/2,4 - 2,,T3225LS,
U I,725.645,,13780.85,16,,,,,|      |,|         |,,,,L3475
C I,728.8118,728.8143,13720.96,2100,,,,9.00258381    -     10.7037605,2s2.2p.3p       | 1D   | 2,2s2.2p.6s            | 3P*     | 1,5 - 3,,,L17684
C I,,734.038186,13623.2694,,5000.0,1.3e-05,E,7.48277598    -      9.17184612,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 1S      | 0,3 - 1,,T9787,
C III,,735.591,13594.52,,3090000.0,0.015,B,41.301394      -     42.986900,1s2.2p.(2P*).3p | 1D   | 2,1s2.2p.(2P*).3d      | 1P*     | 1,5 - 3,,T5633,
C I,736.6763,736.6755,13574.48,8600,360000.0,0.0029,C,9.00258381    -     10.68560706,2s2.2p.3p       | 1D   | 2,2s2.2p.5d            | 1D*     | 2,5 - 5,,T5520,L17684
U I,742.755,,13463.4,23,,,,,|      |,|         |,,,,L3475
C III,,743.515,13450.0,,4220000.0,0.105,B,44.268481      -     45.9360,1s2.2s.6p       | 3P*  | 0,1s2.2s.8d            | 3D      | 1,1 - 3,,T5633LS,
C III,,743.559,13449.0,,5690000.0,0.0786,B,44.268579      -     45.9360,1s2.2s.6p       | 3P*  | 1,1s2.2s.8d            | 3D      | 2,3 - 5,,T5633LS,
C III,,743.559,13449.0,,3160000.0,0.0262,B,44.268579      -     45.9360,1s2.2s.6p       | 3P*  | 1,1s2.2s.8d            | 3D      | 1,3 - 3,,T5633LS,
C III,,743.618,13448.0,,7590000.0,0.0881,B,44.268711      -     45.9360,1s2.2s.6p       | 3P*  | 2,1s2.2s.8d            | 3D      | 3,5 - 7,,T5633LS,
C III,,743.618,13448.0,,1900000.0,0.0158,B,44.268711      -     45.9360,1s2.2s.6p       | 3P*  | 2,1s2.2s.8d            | 3D      | 2,5 - 5,,T5633LS,
C III,,743.618,13448.0,,211000.0,0.00105,B,44.268711      -     45.9360,1s2.2s.6p       | 3P*  | 2,1s2.2s.8d            | 3D      | 1,5 - 3,,T5633LS,
C II,,746.358,13398.39,,90000.0,0.0015,D+,21.492405      -     23.15359,2s2.5s          | 2S   | 1/2,2s2.7p               | 2P*     | 3/2,2 - 4,,T7476,
C II,,746.412,13397.4,,120000.0,0.001,E,21.492405      -     23.15347,2s2.5s          | 2S   | 1/2,2s2.7p               | 2P*     | 1/2,2 - 2,,T10276,
C I,746.751,746.75,13391.36,3300*,,,,9.33030708    -     10.990625,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).7f | 2[3/2]  | 1,3 - 3,,,L17684
C I,746.751,746.75,13391.36,3300*,,,,9.33030708    -     10.990624,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).7f | 2[3/2]  | 2,3 - 5,,,L17684
C I,746.85,746.871,13389.6,4100d,,,,9.33057587    -     10.990625,2s.2p3          | 3P*  | 0,2s2.2p.(2P*<3/2>).7f | 2[3/2]  | 1,1 - 3,,,L2138
C I,747.215,747.215,13383.03,3800*,,,,9.330467271   -     10.989751,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).7f | 2[5/2]  | 2,5 - 5,,,L17684
C I,747.215,747.215,13383.03,3800*,,,,9.330467271   -     10.989751,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).7f | 2[5/2]  | 3,5 - 7,,,L17684
C I,747.537,747.53759,13377.28,8800,1080000.0,0.003,C+,8.771134696   -     10.42970278,2s2.2p.3p       | 3S   | 1,2s2.2p.4d            | 3P*     | 0,3 - 1,,T6070n,L9405c184
C I,747.818,747.8233,13372.23,7400bl?,1060000.0,0.0089,C+,8.771134696   -     10.42906912,2s2.2p.3p       | 3S   | 1,2s2.2p.4d            | 3P*     | 1,3 - 3,,T6070n,L9405c184
C I,748.547,748.550533,13359.22,15000,1010000.0,0.014,C+,8.771134696   -     10.42745839,2s2.2p.3p       | 3S   | 1,2s2.2p.4d            | 3P*     | 2,3 - 5,,T6070n,L9405c184
C III,,748.862,13353.59,,49800000.0,0.538,C+,42.836187      -     44.491821,1s2.2s.5d       | 3D   | 3,1s2.2s.6f            | 3F*     | 4,7 - 9,,T5633LS,
C III,,748.862,13353.6,,44300000.0,0.521,C+,42.836134      -     44.491769,1s2.2s.5d       | 3D   | 2,1s2.2s.6f            | 3F*     | 3,5 - 7,,T5633LS,
C III,,748.87,13353.45,,41900000.0,0.587,C+,42.836115      -     44.491732,1s2.2s.5d       | 3D   | 1,1s2.2s.6f            | 3F*     | 2,3 - 5,,T5633LS,
C III,,748.879,13353.3,,7770000.0,0.0653,C+,42.836134      -     44.491732,1s2.2s.5d       | 3D   | 2,1s2.2s.6f            | 3F*     | 2,5 - 5,,T5633LS,
C III,,748.886,13353.17,,5550000.0,0.0467,C+,42.836187      -     44.491769,1s2.2s.5d       | 3D   | 3,1s2.2s.6f            | 3F*     | 3,7 - 7,,T5633LS,
C III,,748.903,13352.87,,219000.0,0.00132,C+,42.836187      -     44.491732,1s2.2s.5d       | 3D   | 3,1s2.2s.6f            | 3F*     | 2,7 - 5,,T5633LS,
C II,750.738,750.736,13320.23,6hql,390000.0,0.005,D+,21.733778      -     23.385281,2s2.5p          | 2P*  | 3/2,2s.2p.(3P*).3p       | 2D      | 5/2,4 - 6,,T7476,L1176
C I,750.774,750.7729,13319.59,4300*,,,,9.330467271   -     10.981888,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).7f | 2[5/2]  | 2,5 - 5,,,L17684
C I,750.774,750.774,13319.59,4300*,,,,9.330467271   -     10.981887,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).7f | 2[5/2]  | 3,5 - 7,,,L17684
C II,751.0968,751.0958,13313.86,8,1530000.0,0.0259,B,20.919793      -     22.570504,2p3             | 2P*  | 1/2,2s.2p.(3P*).3p       | 2P      | 3/2,2 - 4,,T5109LS,L1176
C II,751.184,751.181,13312.33,23*,2180000.0,0.0245,B,22.187763      -     23.838287,2s2.5f          | 2F*  | 5/2,2s2.10g              | 2G      | 7/2,6 - 8,,T7476,"L21568,L22145"
C II,751.184,751.185,13312.33,23*,2260000.0,0.0239,B,22.187773      -     23.838288,2s2.5f          | 2F*  | 7/2,2s2.10g              | 2G      | 9/2,8 - 10,,T7476,"L21568,L22145"
C II,751.184,751.186,13312.33,23*,81000.0,0.00068,D+,22.187773      -     23.838287,2s2.5f          | 2F*  | 7/2,2s2.10g              | 2G      | 7/2,8 - 8,,T7476,"L21568,L22145"
C II,752.1571,752.1551,13295.1,23m(He I),7610000.0,0.0645,B,20.922118      -     22.570504,2p3             | 2P*  | 3/2,2s.2p.(3P*).3p       | 2P      | 3/2,4 - 4,,T5109LS,L1176
